class,linguistic pattern,predicate
http://dbpedia.org/ontology/Skier,aktuell,http://dbpedia.org/ontology/birthPlace
http://dbpedia.org/ontology/Skier,verheiratete,http://dbpedia.org/ontology/country
http://dbpedia.org/ontology/Skier,bestes,http://dbpedia.org/ontology/country
http://dbpedia.org/ontology/Skier,jüngere,http://dbpedia.org/ontology/birthPlace
http://dbpedia.org/ontology/Skier,verheiratete,http://dbpedia.org/ontology/birthPlace
http://dbpedia.org/ontology/Skier,bestes,http://dbpedia.org/ontology/birthPlace
http://dbpedia.org/ontology/Skier,zweifache,http://dbpedia.org/ontology/country
http://dbpedia.org/ontology/Skier,aktuell,http://dbpedia.org/ontology/height
http://dbpedia.org/ontology/Skier,US-amerikanische,http://dbpedia.org/ontology/height
http://dbpedia.org/ontology/Skier,slowenische,http://dbpedia.org/ontology/country
http://dbpedia.org/ontology/Skier,zweifache,http://dbpedia.org/ontology/birthPlace
http://dbpedia.org/ontology/Skier,vorwiegend,http://dbpedia.org/ontology/country
http://dbpedia.org/ontology/Skier,zweifache,http://dbpedia.org/ontology/height
http://dbpedia.org/ontology/Skier,hauptsächlich,http://dbpedia.org/ontology/height
http://dbpedia.org/ontology/Skier,slowenische,http://dbpedia.org/ontology/birthPlace
http://dbpedia.org/ontology/Skier,französische,http://dbpedia.org/ontology/height
http://dbpedia.org/ontology/Skier,russisch,http://dbpedia.org/ontology/height
http://dbpedia.org/ontology/Skier,hauptsächlich,http://dbpedia.org/ontology/birthPlace
http://dbpedia.org/ontology/Skier,älterer,http://dbpedia.org/ontology/country
http://dbpedia.org/ontology/Skier,olympische,http://dbpedia.org/ontology/birthPlace
http://dbpedia.org/ontology/Skier,Österreichische,http://dbpedia.org/ontology/deathDate
http://dbpedia.org/ontology/Skier,überwiegend,http://dbpedia.org/ontology/height
http://dbpedia.org/ontology/Skier,olympische,http://dbpedia.org/ontology/country
http://dbpedia.org/ontology/Skier,schnellsten,http://dbpedia.org/ontology/height
http://dbpedia.org/ontology/Skier,tätig,http://dbpedia.org/ontology/birthPlace
http://dbpedia.org/ontology/Skier,Deutschen,http://dbpedia.org/ontology/height
http://dbpedia.org/ontology/Skier,schnellsten,http://dbpedia.org/ontology/country
http://dbpedia.org/ontology/Skier,tätig,http://dbpedia.org/ontology/country
http://dbpedia.org/ontology/Skier,olympische,http://dbpedia.org/ontology/height
http://dbpedia.org/ontology/Skier,italienischen,http://dbpedia.org/ontology/birthPlace
http://dbpedia.org/ontology/Skier,dreifache,http://dbpedia.org/ontology/birthPlace
http://dbpedia.org/ontology/Skier,erfolgreichste,http://dbpedia.org/ontology/birthPlace
http://dbpedia.org/ontology/Skier,vorwiegend,http://dbpedia.org/ontology/birthPlace
http://dbpedia.org/ontology/Skier,italienischen,http://dbpedia.org/ontology/country
http://dbpedia.org/ontology/Skier,erfolgreichste,http://dbpedia.org/ontology/country
http://dbpedia.org/ontology/Skier,dreifache,http://dbpedia.org/ontology/country
http://dbpedia.org/ontology/Skier,Deutscher,http://dbpedia.org/ontology/birthPlace
http://dbpedia.org/ontology/Skier,mehrfach,http://dbpedia.org/ontology/height
http://dbpedia.org/ontology/Skier,russisch,http://dbpedia.org/ontology/country
http://dbpedia.org/ontology/Skier,älterer,http://dbpedia.org/ontology/height
http://dbpedia.org/ontology/Skier,älterer,http://dbpedia.org/ontology/birthPlace
http://dbpedia.org/ontology/Skier,schnellsten,http://dbpedia.org/ontology/birthPlace
http://dbpedia.org/ontology/Skier,ältere,http://dbpedia.org/ontology/birthPlace
http://dbpedia.org/ontology/Skier,deutschen,http://dbpedia.org/ontology/birthPlace
http://dbpedia.org/ontology/Skier,französischen,http://dbpedia.org/ontology/birthPlace
http://dbpedia.org/ontology/Skier,beste,http://dbpedia.org/ontology/birthPlace
http://dbpedia.org/ontology/Skier,russische,http://dbpedia.org/ontology/birthPlace
http://dbpedia.org/ontology/Skier,ältere,http://dbpedia.org/ontology/country
http://dbpedia.org/ontology/Skier,Deutsche,http://dbpedia.org/ontology/birthPlace
http://dbpedia.org/ontology/Skier,ehemaligen,http://dbpedia.org/ontology/country
http://dbpedia.org/ontology/Skier,einzige,http://dbpedia.org/ontology/birthPlace
