LemonEntry,partOfSpeech,writtenFormInfinitive,writtenForm3rdPresent,writtenFormPast,writtenFormPerfect,SyntacticFrame,subject,directObject,sense,reference,domain,range,passivePreposition
lehren,verb,lehren,lehrt,lehrte,gelehrt,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/author,http://dbpedia.org/ontology/Book,http://dbpedia.org/ontology/Person,von
studieren,verb,studieren,studiert,studierte,studiert,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/author,http://dbpedia.org/ontology/Book,http://dbpedia.org/ontology/Person,von
verlaufen,verb,verlaufen,verläuft,verlief,verlaufen,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/locatedInArea,http://dbpedia.org/ontology/Mountain,http://dbpedia.org/ontology/Country,von
verbinden,verb,verbinden,verbindet,verband,verbunden,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/locatedInArea,http://dbpedia.org/ontology/Mountain,http://dbpedia.org/ontology/Country,von
bilden,verb,bilden,bildet,bildete,gebildet,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/locatedInArea,http://dbpedia.org/ontology/Mountain,http://dbpedia.org/ontology/Country,von
enden,verb,enden,endet,endete,geendet,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/locatedInArea,http://dbpedia.org/ontology/Mountain,http://dbpedia.org/ontology/Country,von
ermöglichen,verb,ermöglichen,ermöglicht,ermöglichte,ermöglicht,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/locatedInArea,http://dbpedia.org/ontology/Mountain,http://dbpedia.org/ontology/Country,von
anlegen,verb,anlegen,legt an,legte an,angelegt,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/locatedInArea,http://dbpedia.org/ontology/Mountain,http://dbpedia.org/ontology/Country,von
dienen,verb,dienen,dient,diente,gedient,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/locatedInArea,http://dbpedia.org/ontology/Mountain,http://dbpedia.org/ontology/Country,von
bezeichnen,verb,bezeichnen,bezeichnet,bezeichnete,bezeichnet,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/locatedInArea,http://dbpedia.org/ontology/Mountain,http://dbpedia.org/ontology/Country,von
zuschütten,verb,zuschütten,schüttet zu,schüttete zu,zugeschüttet,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/locatedInArea,http://dbpedia.org/ontology/Mountain,http://dbpedia.org/ontology/Country,von
liegen,verb,liegen,liegt,lag,gelegen,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/locatedInArea,http://dbpedia.org/ontology/Mountain,http://dbpedia.org/ontology/Country,von
führen,verb,führen,führt,führte,geführt,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/locatedInArea,http://dbpedia.org/ontology/Mountain,http://dbpedia.org/ontology/Country,von
betragen,verb,betragen,beträgt,betrug,betragen,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/locatedInArea,http://dbpedia.org/ontology/Mountain,http://dbpedia.org/ontology/Country,von
nennen,verb,nennen,nennt,nannte,genannt,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/locatedInArea,http://dbpedia.org/ontology/Mountain,http://dbpedia.org/ontology/Country,von
münden,verb,münden,mündet,mündete,gemündet,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/locatedInArea,http://dbpedia.org/ontology/Mountain,http://dbpedia.org/ontology/Country,von
erreichen,verb,erreichen,erreicht,erreichte,erreicht,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Place,von
erreichen,verb,erreichen,erreicht,erreichte,erreicht,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/country,http://dbpedia.org/ontology/Lake,http://dbpedia.org/ontology/Country,von
gehören,verb,gehören,gehört,gehörte,gehört,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/country,http://dbpedia.org/ontology/Lake,http://dbpedia.org/ontology/Country,von
gehören,verb,gehören,gehört,gehörte,gehört,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Place,von
starten,verb,starten,startet,startete,gestartet,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Place,von
starten,verb,starten,startet,startete,gestartet,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/country,http://dbpedia.org/ontology/Lake,http://dbpedia.org/ontology/Country,von
feiern,verb,feiern,feiert,feierte,gefeiert,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Place,von
feiern,verb,feiern,feiert,feierte,gefeiert,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/country,http://dbpedia.org/ontology/Lake,http://dbpedia.org/ontology/Country,von
erzielen,verb,erzielen,erzielt,erzielte,erzielt,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/country,http://dbpedia.org/ontology/Lake,http://dbpedia.org/ontology/Country,von
erzielen,verb,erzielen,erzielt,erzielte,erzielt,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Place,von
feiern,verb,feiern,feiert,feierte,gefeiert,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/deathDate,http://dbpedia.org/ontology/Person,xsd:date,von
belegen,verb,belegen,belegt,belegte,belegt,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Place,von
belegen,verb,belegen,belegt,belegte,belegt,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/country,http://dbpedia.org/ontology/Lake,http://dbpedia.org/ontology/Country,von
feiern,verb,feiern,feiert,feierte,gefeiert,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/City,von
beenden,verb,beenden,beendet,beendete,beendet,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/country,http://dbpedia.org/ontology/Lake,http://dbpedia.org/ontology/Country,von
beenden,verb,beenden,beendet,beendete,beendet,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Place,von
entscheiden,verb,entscheiden,entscheidet,entschied,entschieden,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Place,von
entscheiden,verb,entscheiden,entscheidet,entschied,entschieden,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/country,http://dbpedia.org/ontology/Lake,http://dbpedia.org/ontology/Country,von
siegen,verb,siegen,siegt,siegte,gesiegt,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/deathDate,http://dbpedia.org/ontology/Person,xsd:date,von
treten,verb,treten,tritt,trat,getreten,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/country,http://dbpedia.org/ontology/Lake,http://dbpedia.org/ontology/Country,von
treten,verb,treten,tritt,trat,getreten,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Place,von
liegen,verb,liegen,liegt,lag,gelegen,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/country,http://dbpedia.org/ontology/Lake,http://dbpedia.org/ontology/Country,von
siegen,verb,siegen,siegt,siegte,gesiegt,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Place,von
belegen,verb,belegen,belegt,belegte,belegt,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/City,von
bleiben,verb,bleiben,bleibt,blieb,geblieben,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/country,http://dbpedia.org/ontology/Lake,http://dbpedia.org/ontology/Country,von
belegen,verb,belegen,belegt,belegte,belegt,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/deathDate,http://dbpedia.org/ontology/Person,xsd:date,von
siegen,verb,siegen,siegt,siegte,gesiegt,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/country,http://dbpedia.org/ontology/Lake,http://dbpedia.org/ontology/Country,von
bleiben,verb,bleiben,bleibt,blieb,geblieben,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Place,von
liegen,verb,liegen,liegt,lag,gelegen,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Place,von
siegen,verb,siegen,siegt,siegte,gesiegt,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/City,von
bestreiten,verb,bestreiten,bestreitet,bestritt,bestritten,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Place,von
bestreiten,verb,bestreiten,bestreitet,bestritt,bestritten,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/country,http://dbpedia.org/ontology/Lake,http://dbpedia.org/ontology/Country,von
gelangen,verb,gelangen,gelangt,gelangte,gelangt,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Place,von
erreichen,verb,erreichen,erreicht,erreichte,erreicht,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/City,von
verheiraten,verb,verheiraten,verheiratet,verheiratete,verheiratete,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Place,von
erzielen,verb,erzielen,erzielt,erzielte,erzielt,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/City,von
verheiraten,verb,verheiraten,verheiratet,verheiratete,verheiratete,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/country,http://dbpedia.org/ontology/Lake,http://dbpedia.org/ontology/Country,von
erreichen,verb,erreichen,erreicht,erreichte,erreicht,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/deathDate,http://dbpedia.org/ontology/Person,xsd:date,von
holen,verb,holen,holt,holte,geholt,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Place,von
stehen,verb,stehen,steht,stand,stund ,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Place,von
wachsen,verb,wachsen,wächst,wuchs,gewachsen,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Place,von
gelangen,verb,gelangen,gelangt,gelangte,gelangt,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/country,http://dbpedia.org/ontology/Lake,http://dbpedia.org/ontology/Country,von
wachsen,verb,wachsen,wächst,wuchs,gewachsen,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/country,http://dbpedia.org/ontology/Lake,http://dbpedia.org/ontology/Country,von
wohnen,verb,wohnen,wohnt,wohnte,gewohnt,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/country,http://dbpedia.org/ontology/Lake,http://dbpedia.org/ontology/Country,von
holen,verb,holen,holt,holte,geholt,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/country,http://dbpedia.org/ontology/Lake,http://dbpedia.org/ontology/Country,von
leben,verb,leben,lebt,lebte,gelebt,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Place,von
erzielen,verb,erzielen,erzielt,erzielte,erzielt,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/deathDate,http://dbpedia.org/ontology/Person,xsd:date,von
wohnen,verb,wohnen,wohnt,wohnte,gewohnt,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Place,von
stehen,verb,stehen,steht,stand,stund ,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/country,http://dbpedia.org/ontology/Lake,http://dbpedia.org/ontology/Country,von
bilden,verb,bilden,bildet,bildete,gebildet,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Place,von
gebären,verb,gebären,gebärst,gebiert,gebärt,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Place,von
vertreten,verb,vertreten,vertritt,vertrat,vertreten,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Place,von
leben,verb,leben,lebt,lebte,gelebt,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/country,http://dbpedia.org/ontology/Lake,http://dbpedia.org/ontology/Country,von
gehören,verb,gehören,gehört,gehörte,gehört,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/City,von
besitzen,verb,besitzen,besitzt,besaß,besessen,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Place,von
nennen,verb,nennen,nennt,nannte,genannt,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Place,von
erklären,verb,erklären,erklärt,erklärte,erklärt,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Place,von
vermögen,verb,vermögen,vermag,vermochte,vermocht,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Place,von
wählen,verb,wählen,wählt,wählte,gewählt,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Place,von
wechseln,verb,wechseln,wechselst,wechselt,wechselte,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Place,von
aufnehmen,verb,aufnehmen,nimmt auf,nahm auf,aufgenommen,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/country,http://dbpedia.org/ontology/Lake,http://dbpedia.org/ontology/Country,von
besuchen,verb,besuchen,besucht,besuchte,besucht,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/country,http://dbpedia.org/ontology/Lake,http://dbpedia.org/ontology/Country,von
nennen,verb,nennen,nennt,nannte,genannt,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/country,http://dbpedia.org/ontology/Lake,http://dbpedia.org/ontology/Country,von
wechseln,verb,wechseln,wechselst,wechselt,wechselte,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/country,http://dbpedia.org/ontology/Lake,http://dbpedia.org/ontology/Country,von
vermögen,verb,vermögen,vermag,vermochte,vermocht,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/country,http://dbpedia.org/ontology/Lake,http://dbpedia.org/ontology/Country,von
wählen,verb,wählen,wählt,wählte,gewählt,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/country,http://dbpedia.org/ontology/Lake,http://dbpedia.org/ontology/Country,von
erklären,verb,erklären,erklärt,erklärte,erklärt,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/country,http://dbpedia.org/ontology/Lake,http://dbpedia.org/ontology/Country,von
gehören,verb,gehören,gehört,gehörte,gehört,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/deathDate,http://dbpedia.org/ontology/Person,xsd:date,von
teilnehmen,verb,teilnehmen,nimmt teil,nahm teil,teilgenommen,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Place,von
realisieren,verb,realisieren,realisiert,realisierte,realisiert,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Place,von
nehmen,verb,nehmen,nimmt,nahm,genommen,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Place,von
realisieren,verb,realisieren,realisiert,realisierte,realisiert,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/country,http://dbpedia.org/ontology/Lake,http://dbpedia.org/ontology/Country,von
besitzen,verb,besitzen,besitzt,besaß,besessen,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/country,http://dbpedia.org/ontology/Lake,http://dbpedia.org/ontology/Country,von
aufnehmen,verb,aufnehmen,nimmt auf,nahm auf,aufgenommen,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Place,von
stammen,verb,stammen,stammt,stammte,gestammt,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/country,http://dbpedia.org/ontology/Lake,http://dbpedia.org/ontology/Country,von
bilden,verb,bilden,bildet,bildete,gebildet,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/country,http://dbpedia.org/ontology/Lake,http://dbpedia.org/ontology/Country,von
gebären,verb,gebären,gebärst,gebiert,gebärt,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/country,http://dbpedia.org/ontology/Lake,http://dbpedia.org/ontology/Country,von
vertreten,verb,vertreten,vertritt,vertrat,vertreten,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/country,http://dbpedia.org/ontology/Lake,http://dbpedia.org/ontology/Country,von
starten,verb,starten,startet,startete,gestartet,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/deathDate,http://dbpedia.org/ontology/Person,xsd:date,von
starten,verb,starten,startet,startete,gestartet,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/City,von
ausstrahlen,verb,ausstrahlen,strahlt aus,strahlte aus,ausgestrahlt,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/country,http://dbpedia.org/ontology/Lake,http://dbpedia.org/ontology/Country,von
ausstrahlen,verb,ausstrahlen,strahlt aus,strahlte aus,ausgestrahlt,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/language,http://dbpedia.org/ontology/Country,http://dbpedia.org/ontology/Language,von
ausstrahlen,verb,ausstrahlen,strahlt aus,strahlte aus,ausgestrahlt,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/starring,http://dbpedia.org/ontology/Film,http://dbpedia.org/ontology/Person,von
produzieren,verb,produzieren,produziert,produzierte,produzierte,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/country,http://dbpedia.org/ontology/Lake,http://dbpedia.org/ontology/Country,von
produzieren,verb,produzieren,produziert,produzierte,produzierte,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/language,http://dbpedia.org/ontology/Country,http://dbpedia.org/ontology/Language,von
ausstrahlen,verb,ausstrahlen,strahlt aus,strahlte aus,ausgestrahlt,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/musicComposer,http://dbpedia.org/ontology/Film,http://dbpedia.org/ontology/Person,von
produzieren,verb,produzieren,produziert,produzierte,produzierte,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/musicComposer,http://dbpedia.org/ontology/Film,http://dbpedia.org/ontology/Person,von
produzieren,verb,produzieren,produziert,produzierte,produzierte,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/starring,http://dbpedia.org/ontology/Film,http://dbpedia.org/ontology/Person,von
laufen,verb,laufen,läuft,lief,gelaufen,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/country,http://dbpedia.org/ontology/Lake,http://dbpedia.org/ontology/Country,von
basieren,verb,basieren,basiert,basierte,basiert,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/country,http://dbpedia.org/ontology/Lake,http://dbpedia.org/ontology/Country,von
basieren,verb,basieren,basiert,basierte,basiert,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/musicComposer,http://dbpedia.org/ontology/Film,http://dbpedia.org/ontology/Person,von
laufen,verb,laufen,läuft,lief,gelaufen,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/language,http://dbpedia.org/ontology/Country,http://dbpedia.org/ontology/Language,von
basieren,verb,basieren,basiert,basierte,basiert,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/language,http://dbpedia.org/ontology/Country,http://dbpedia.org/ontology/Language,von
laufen,verb,laufen,läuft,lief,gelaufen,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/starring,http://dbpedia.org/ontology/Film,http://dbpedia.org/ontology/Person,von
handeln,verb,handeln,handelst,handelt,handelte,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/language,http://dbpedia.org/ontology/Country,http://dbpedia.org/ontology/Language,von
handeln,verb,handeln,handelst,handelt,handelte,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/musicComposer,http://dbpedia.org/ontology/Film,http://dbpedia.org/ontology/Person,von
erfolgen,verb,erfolgen,erfolgt,erfolgte,erfolgt,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/country,http://dbpedia.org/ontology/Lake,http://dbpedia.org/ontology/Country,von
spielen,verb,spielen,spielt,spielte,gespielt,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/language,http://dbpedia.org/ontology/Country,http://dbpedia.org/ontology/Language,von
erfolgen,verb,erfolgen,erfolgt,erfolgte,erfolgt,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/language,http://dbpedia.org/ontology/Country,http://dbpedia.org/ontology/Language,von
sehen,verb,sehen,sieht,sah,gesehen,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/country,http://dbpedia.org/ontology/Lake,http://dbpedia.org/ontology/Country,von
handeln,verb,handeln,handelst,handelt,handelte,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/country,http://dbpedia.org/ontology/Lake,http://dbpedia.org/ontology/Country,von
spielen,verb,spielen,spielt,spielte,gespielt,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/musicComposer,http://dbpedia.org/ontology/Film,http://dbpedia.org/ontology/Person,von
sehen,verb,sehen,sieht,sah,gesehen,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/language,http://dbpedia.org/ontology/Country,http://dbpedia.org/ontology/Language,von
einstellen,verb,einstellen,stellt ein,stellte ein,eingestellt,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/language,http://dbpedia.org/ontology/Country,http://dbpedia.org/ontology/Language,von
einstellen,verb,einstellen,stellt ein,stellte ein,eingestellt,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/country,http://dbpedia.org/ontology/Lake,http://dbpedia.org/ontology/Country,von
spielen,verb,spielen,spielt,spielte,gespielt,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/country,http://dbpedia.org/ontology/Lake,http://dbpedia.org/ontology/Country,von
zeigen,verb,zeigen,zeigt,zeigte,gezeigt,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/country,http://dbpedia.org/ontology/Lake,http://dbpedia.org/ontology/Country,von
moderieren,verb,moderieren,moderiert,moderierte,moderierte,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/starring,http://dbpedia.org/ontology/Film,http://dbpedia.org/ontology/Person,von
drehen,verb,drehen,dreht,drehte,gedreht,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/country,http://dbpedia.org/ontology/Lake,http://dbpedia.org/ontology/Country,von
laufen,verb,laufen,läuft,lief,gelaufen,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/musicComposer,http://dbpedia.org/ontology/Film,http://dbpedia.org/ontology/Person,von
zeigen,verb,zeigen,zeigt,zeigte,gezeigt,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/language,http://dbpedia.org/ontology/Country,http://dbpedia.org/ontology/Language,von
führen,verb,führen,führt,führte,geführt,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/starring,http://dbpedia.org/ontology/Film,http://dbpedia.org/ontology/Person,von
erfolgen,verb,erfolgen,erfolgt,erfolgte,erfolgt,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/musicComposer,http://dbpedia.org/ontology/Film,http://dbpedia.org/ontology/Person,von
drehen,verb,drehen,dreht,drehte,gedreht,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/language,http://dbpedia.org/ontology/Country,http://dbpedia.org/ontology/Language,von
finden,verb,finden,findet,fand,gefunden,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/country,http://dbpedia.org/ontology/Lake,http://dbpedia.org/ontology/Country,von
drehen,verb,drehen,dreht,drehte,gedreht,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/musicComposer,http://dbpedia.org/ontology/Film,http://dbpedia.org/ontology/Person,von
entwickeln,verb,entwickeln,entwickelt,entwickelte,entwickelt,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/language,http://dbpedia.org/ontology/Country,http://dbpedia.org/ontology/Language,von
drehen,verb,drehen,dreht,drehte,gedreht,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/starring,http://dbpedia.org/ontology/Film,http://dbpedia.org/ontology/Person,von
entwickeln,verb,entwickeln,entwickelt,entwickelte,entwickelt,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/country,http://dbpedia.org/ontology/Lake,http://dbpedia.org/ontology/Country,von
finden,verb,finden,findet,fand,gefunden,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/language,http://dbpedia.org/ontology/Country,http://dbpedia.org/ontology/Language,von
veröffentlichen,verb,veröffentlichen,veröffentlicht,veröffentlichte,veröffentlicht,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/musicComposer,http://dbpedia.org/ontology/Film,http://dbpedia.org/ontology/Person,von
führen,verb,führen,führt,führte,geführt,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/country,http://dbpedia.org/ontology/Lake,http://dbpedia.org/ontology/Country,von
spielen,verb,spielen,spielt,spielte,gespielt,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/starring,http://dbpedia.org/ontology/Film,http://dbpedia.org/ontology/Person,von
starten,verb,starten,startet,startete,gestartet,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/language,http://dbpedia.org/ontology/Country,http://dbpedia.org/ontology/Language,von
führen,verb,führen,führt,führte,geführt,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/language,http://dbpedia.org/ontology/Country,http://dbpedia.org/ontology/Language,von
sehen,verb,sehen,sieht,sah,gesehen,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/starring,http://dbpedia.org/ontology/Film,http://dbpedia.org/ontology/Person,von
führen,verb,führen,führt,führte,geführt,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/musicComposer,http://dbpedia.org/ontology/Film,http://dbpedia.org/ontology/Person,von
finden,verb,finden,findet,fand,gefunden,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/musicComposer,http://dbpedia.org/ontology/Film,http://dbpedia.org/ontology/Person,von
