LemonEntry,partOfSpeech,writtenFormInfinitive,writtenFormThridPerson,writtenFormPast,writtenFormPerfect,preposition,SyntacticFrame,subject,prepositionalAdjunct,sense,reference,domain,range
bestehen,verb,bestehen,besteht,bestand,bestanden,durch,IntransitivePPFrame,domain,range,1,http://dbpedia.org/ontology/programmingLanguage,http://dbpedia.org/ontology/Software,http://dbpedia.org/ontology/Language
existieren,verb,existieren,existiert,existierte,existiert,durch,IntransitivePPFrame,domain,range,1,http://dbpedia.org/ontology/programmingLanguage,http://dbpedia.org/ontology/Software,http://dbpedia.org/ontology/Language
bauen,verb,bauen,baut,baute,gebaut,durch,IntransitivePPFrame,domain,range,1,http://dbpedia.org/ontology/programmingLanguage,http://dbpedia.org/ontology/Software,http://dbpedia.org/ontology/Language
erscheinen,verb,erscheinen,erscheint,erschien,erschienen,durch,IntransitivePPFrame,domain,range,1,http://dbpedia.org/ontology/programmingLanguage,http://dbpedia.org/ontology/Software,http://dbpedia.org/ontology/Language
hören,verb,hören,hört,hörte,gehört,durch,IntransitivePPFrame,domain,range,1,http://dbpedia.org/ontology/programmingLanguage,http://dbpedia.org/ontology/Software,http://dbpedia.org/ontology/Language
zählen,verb,zählen,zählt,zählte,gezählt,durch,IntransitivePPFrame,domain,range,1,http://dbpedia.org/ontology/programmingLanguage,http://dbpedia.org/ontology/Software,http://dbpedia.org/ontology/Language
entstehen,verb,entstehen,entsteht,entstand,entstanden,durch,IntransitivePPFrame,domain,range,1,http://dbpedia.org/ontology/programmingLanguage,http://dbpedia.org/ontology/Software,http://dbpedia.org/ontology/Language
arbeiten,verb,arbeiten,arbeitet,arbeitete,gearbeitet,durch,IntransitivePPFrame,domain,range,1,http://dbpedia.org/ontology/programmingLanguage,http://dbpedia.org/ontology/Software,http://dbpedia.org/ontology/Language
beginnen,verb,beginnen,beginnt,begann,begonnen,durch,IntransitivePPFrame,domain,range,1,http://dbpedia.org/ontology/programmingLanguage,http://dbpedia.org/ontology/Software,http://dbpedia.org/ontology/Language
gelten,verb,gelten,gilt,galt,gegolten,durch,IntransitivePPFrame,domain,range,1,http://dbpedia.org/ontology/programmingLanguage,http://dbpedia.org/ontology/Software,http://dbpedia.org/ontology/Language
vorstellen,verb,vorstellen,stellt vor,stellte vor,vorgestellt,durch,IntransitivePPFrame,domain,range,1,http://dbpedia.org/ontology/programmingLanguage,http://dbpedia.org/ontology/Software,http://dbpedia.org/ontology/Language
zählen,verb,zählen,zählt,zählte,gezählt,durch,IntransitivePPFrame,domain,range,1,http://dbpedia.org/ontology/abbreviation,owl:Thing,	xsd:string
bestehen,verb,bestehen,besteht,bestand,bestanden,durch,IntransitivePPFrame,domain,range,1,http://dbpedia.org/ontology/abbreviation,owl:Thing,	xsd:string
arbeiten,verb,arbeiten,arbeitet,arbeitete,gearbeitet,durch,IntransitivePPFrame,domain,range,1,http://dbpedia.org/ontology/abbreviation,owl:Thing,	xsd:string
hören,verb,hören,hört,hörte,gehört,durch,IntransitivePPFrame,domain,range,1,http://dbpedia.org/ontology/abbreviation,owl:Thing,	xsd:string
gelten,verb,gelten,gilt,galt,gegolten,durch,IntransitivePPFrame,domain,range,1,http://dbpedia.org/ontology/abbreviation,owl:Thing,	xsd:string
entstehen,verb,entstehen,entsteht,entstand,entstanden,durch,IntransitivePPFrame,domain,range,1,http://dbpedia.org/ontology/abbreviation,owl:Thing,	xsd:string
lauten,verb,lauten,lautet,lautete,gelautet,durch,IntransitivePPFrame,domain,range,1,http://dbpedia.org/ontology/abbreviation,owl:Thing,	xsd:string
fungieren,verb,fungieren,fungiert,fungierte,fungiert,durch,IntransitivePPFrame,domain,range,1,http://dbpedia.org/ontology/abbreviation,owl:Thing,	xsd:string
fahren,verb,fahren,fährt,fuhr,gefahren,durch,IntransitivePPFrame,domain,range,1,http://dbpedia.org/ontology/deathDate,http://dbpedia.org/ontology/Person,xsd:date
gelingen,verb,gelingen,gelingt,gelang,gelungen,durch,IntransitivePPFrame,domain,range,1,http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/City
fahren,verb,fahren,fährt,fuhr,gefahren,durch,IntransitivePPFrame,domain,range,1,http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/City
verlieren,verb,verlieren,verliert,verlor,verloren,durch,IntransitivePPFrame,domain,range,1,http://dbpedia.org/ontology/populationTotal,http://dbpedia.org/ontology/Country,xsd:double
bestehen,verb,bestehen,besteht,bestand,bestanden,durch,IntransitivePPFrame,domain,range,1,http://dbpedia.org/ontology/currency,http://dbpedia.org/ontology/Location,http://dbpedia.org/ontology/Currency
entstehen,verb,entstehen,entsteht,entstand,entstanden,durch,IntransitivePPFrame,domain,range,1,http://dbpedia.org/ontology/currency,http://dbpedia.org/ontology/Location,http://dbpedia.org/ontology/Currency
existieren,verb,existieren,existiert,existierte,existiert,durch,IntransitivePPFrame,domain,range,1,http://dbpedia.org/ontology/currency,http://dbpedia.org/ontology/Location,http://dbpedia.org/ontology/Currency
