LemonEntry,partOfSpeech,gender,writtenFormNominative(singular),writtenFormNominative (plural),writtenFormSingular (accusative),writtenFormSingular (dative),writtenFormSingular (genetive),preposition,SyntacticFrame,copulativeArg,prepositionalAdjunct,sense,reference,domain,range
Zweizylindermotor,noun,m,Zweizylindermotor,Zweizylindermotoren,Zweizylindermotor,Zweizylindermotor,Zweizylindermotors,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/successor,http://dbpedia.org/ontology/Politician	,http://dbpedia.org/ontology/Person  
Ninja,noun,m,Ninja,Ninja,Ninjas,Ninjas,Ninjas,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/successor,http://dbpedia.org/ontology/Politician	,http://dbpedia.org/ontology/Person  
Modelljahr,noun,n,Modelljahr,Modelljahre,Modelljahre,Modelljahre,Modelljahres,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/successor,http://dbpedia.org/ontology/Politician	,http://dbpedia.org/ontology/Person  
Produktion,noun,f,Produktion,Produktionen,Produktion,Produktion,Produktion,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/successor,http://dbpedia.org/ontology/Politician	,http://dbpedia.org/ontology/Person  
Serie,noun,f,Serie,Serien,Serie,Serie,Serie,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/successor,http://dbpedia.org/ontology/Politician	,http://dbpedia.org/ontology/Person  
Wrestler,noun,m,Wrestler,Wrestler,Wrestler,Wrestler,Wrestlers,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/height,	http://dbpedia.org/ontology/Lighthouse	,xsd:integer                     
Wrestling,noun,n,Wrestling,—,Wrestling,Wrestling,Wrestlings,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/height,	http://dbpedia.org/ontology/Lighthouse	,xsd:integer                     
Erhalt,noun,m,Erhalt,-,Erhalte,-,Erhaltes,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/height,	http://dbpedia.org/ontology/Lighthouse	,xsd:integer                     
Show,noun,f,Show,Shows,Show,Show,Show,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/height,	http://dbpedia.org/ontology/Lighthouse	,xsd:integer                     
Wrestlerin,noun,f,Wrestlerin,Wrestlerinnen,Wrestlerin,Wrestlerin,Wrestlerin,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/height,	http://dbpedia.org/ontology/Lighthouse	,xsd:integer                     
Tag,noun,m,Tag,Tage,Tage,Tage,Tages,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/height,	http://dbpedia.org/ontology/Lighthouse	,xsd:integer                     
Entertainment,noun,n,Entertainment,Entertainments,Entertainment,Entertainment,Entertainments,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/height,	http://dbpedia.org/ontology/Lighthouse	,xsd:integer                     
Champion,noun,m,Champion,Champions,Champion,Champion,Champions,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/height,	http://dbpedia.org/ontology/Lighthouse	,xsd:integer                     
Show,noun,f,Show,Shows,Show,Show,Show,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/coach,http://dbpedia.org/ontology/IceHockeyLeague	,http://dbpedia.org/ontology/CollegeCoach 
Schauspieler,noun,m,Schauspieler,Schauspieler,Schauspieler,Schauspieler,Schauspielers,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/height,	http://dbpedia.org/ontology/Lighthouse	,xsd:integer                     
Action,noun,f,Action,–,Action,Action,Action,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/height,	http://dbpedia.org/ontology/Lighthouse	,xsd:integer                     
Auftritt,noun,m,Auftritt,Auftritte,Auftritte,Auftritte,Auftritts,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/height,	http://dbpedia.org/ontology/Lighthouse	,xsd:integer                     
Minnesota,noun,n,Minnesota,—,—,—,Minnesota,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/coach,http://dbpedia.org/ontology/IceHockeyLeague	,http://dbpedia.org/ontology/CollegeCoach 
Model,noun,n,Model,Models,Model,Model,Models,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/height,	http://dbpedia.org/ontology/Lighthouse	,xsd:integer                     
USA,noun,x,—,USA,—,—,—,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/coach,http://dbpedia.org/ontology/IceHockeyLeague	,http://dbpedia.org/ontology/CollegeCoach 
Ring,noun,m,Ring,Ringe,Ringe,Ringe,Ringes,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/height,	http://dbpedia.org/ontology/Lighthouse	,xsd:integer                     
Schauspielerin,noun,f,Schauspielerin,Schauspielerinnen,Schauspielerin,Schauspielerin,Schauspielerin,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/coach,http://dbpedia.org/ontology/IceHockeyLeague	,http://dbpedia.org/ontology/CollegeCoach 
Agent,noun,m,Agent,Agenten,Agenten,Agenten,Agenten,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/coach,http://dbpedia.org/ontology/IceHockeyLeague	,http://dbpedia.org/ontology/CollegeCoach 
Model,noun,n,Model,Models,Model,Model,Models,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/coach,http://dbpedia.org/ontology/IceHockeyLeague	,http://dbpedia.org/ontology/CollegeCoach 
Akteur,noun,m,Akteur,Akteure,Akteur,Akteur,Akteurs,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/coach,http://dbpedia.org/ontology/IceHockeyLeague	,http://dbpedia.org/ontology/CollegeCoach 
Schauspielerin,noun,f,Schauspielerin,Schauspielerinnen,Schauspielerin,Schauspielerin,Schauspielerin,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/height,	http://dbpedia.org/ontology/Lighthouse	,xsd:integer                     
Marktführer,noun,m,Marktführer,Marktführer,Marktführer,Marktführer,Marktführers,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/height,	http://dbpedia.org/ontology/Lighthouse	,xsd:integer                     
