LemonEntry,partOfSpeech,gender,writtenFormNominative(singular),writtenFormNominative (plural),writtenFormSingular (accusative),writtenFormSingular (dative),writtenFormSingular (genetive),preposition,SyntacticFrame,copulativeArg,prepositionalAdjunct,sense,reference,domain,range
Halbschwergewicht,noun,n,Halbschwergewicht,—,—,—,Halbschwergewichts,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/successor,http://dbpedia.org/ontology/Politician	,http://dbpedia.org/ontology/Person  
Juli,noun,m,Juli,Julis,Julis,Julis,Juli,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/successor,http://dbpedia.org/ontology/Politician	,http://dbpedia.org/ontology/Person  
Juni,noun,m,Juni,Junis,Junis,Junis,Juni,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/successor,http://dbpedia.org/ontology/Politician	,http://dbpedia.org/ontology/Person  
Bruder,noun,m,Bruder,Brüder,Bruder,Bruder,Bruders,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/successor,http://dbpedia.org/ontology/Politician	,http://dbpedia.org/ontology/Person  
Abstammung,noun,f,Abstammung,Abstammungen,Abstammung,Abstammung,Abstammung,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/successor,http://dbpedia.org/ontology/Politician	,http://dbpedia.org/ontology/Person  
Hall,noun,m,Hall,Halle,Halle,Halle,Halls,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/successor,http://dbpedia.org/ontology/Politician	,http://dbpedia.org/ontology/Person  
Version,noun,f,Version,Versionen,Version,Version,Version,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/successor,http://dbpedia.org/ontology/Politician	,http://dbpedia.org/ontology/Person  
Oktober,noun,m,Oktober,Oktober,Oktobern,Oktober,Oktober,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/successor,http://dbpedia.org/ontology/Politician	,http://dbpedia.org/ontology/Person  
Jahr,noun,n,Jahr,Jahre,Jahre,Jahre,Jahres,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/successor,http://dbpedia.org/ontology/Politician	,http://dbpedia.org/ontology/Person  
Chris,noun,Chris,Chris,Chris’,Chris,Chris,Chris,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/successor,http://dbpedia.org/ontology/Politician	,http://dbpedia.org/ontology/Person  
Schwergewicht,noun,n,Schwergewicht,Schwergewichte,Schwergewichte,Schwergewichte,Schwergewichtes,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/successor,http://dbpedia.org/ontology/Politician	,http://dbpedia.org/ontology/Person  
Herkunft,noun,f,Herkunft,Herkünfte,Herkunft,Herkunft,Herkunft,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/successor,http://dbpedia.org/ontology/Politician	,http://dbpedia.org/ontology/Person  
Amateur,noun,m,Amateur,Amateure,Amateur,Amateur,Amateurs,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/successor,http://dbpedia.org/ontology/Politician	,http://dbpedia.org/ontology/Person  
Sowjetunion,noun,f,Sowjetunion,—,Sowjetunion,Sowjetunion,Sowjetunion,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/successor,http://dbpedia.org/ontology/Politician	,http://dbpedia.org/ontology/Person  
Welt,noun,f,Welt,Welten,Welt,Welt,Welt,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/successor,http://dbpedia.org/ontology/Politician	,http://dbpedia.org/ontology/Person  
Boxweltmeister,noun,m,Boxweltmeister,Boxweltmeister,Boxweltmeister,Boxweltmeister,Boxweltmeisters,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/successor,http://dbpedia.org/ontology/Politician	,http://dbpedia.org/ontology/Person  
Michigan,noun,n,Michigan,—,Michigan,Michigan,Michigans,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/successor,http://dbpedia.org/ontology/Politician	,http://dbpedia.org/ontology/Person  
Aufnahme,noun,f,Aufnahme,Aufnahmen,Aufnahme,Aufnahme,Aufnahme,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/successor,http://dbpedia.org/ontology/Politician	,http://dbpedia.org/ontology/Person  
Bantamgewicht,noun,n,Bantamgewicht,Bantamgewichte,Bantamgewichte,Bantamgewichte,Bantamgewichtes,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/successor,http://dbpedia.org/ontology/Politician	,http://dbpedia.org/ontology/Person  
Lauf,noun,m,Lauf,Läufe,Laufe,Läufe,Laufs,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/successor,http://dbpedia.org/ontology/Politician	,http://dbpedia.org/ontology/Person  
Karriere,noun,f,Karriere,Karrieren,Karriere,Karriere,Karriere,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/successor,http://dbpedia.org/ontology/Politician	,http://dbpedia.org/ontology/Person  
David,noun,David,Davide,Davids,Daviden,Davids,Davids,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/successor,http://dbpedia.org/ontology/Politician	,http://dbpedia.org/ontology/Person  
Provinz,noun,f,Provinz,Provinzen,Provinz,Provinz,Provinz,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/successor,http://dbpedia.org/ontology/Politician	,http://dbpedia.org/ontology/Person  
Weltrangliste,noun,f,Weltrangliste,Weltranglisten,Weltrangliste,Weltrangliste,Weltrangliste,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/successor,http://dbpedia.org/ontology/Politician	,http://dbpedia.org/ontology/Person  
Gewichtsklasse,noun,f,Gewichtsklasse,Gewichtsklassen,Gewichtsklasse,Gewichtsklasse,Gewichtsklasse,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/successor,http://dbpedia.org/ontology/Politician	,http://dbpedia.org/ontology/Person  
Geschichte,noun,f,Geschichte,Geschichten,Geschichte,Geschichte,Geschichte,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/successor,http://dbpedia.org/ontology/Politician	,http://dbpedia.org/ontology/Person  
Manuel,noun,Manuel,Manuele,Manuels,Manuelen,Manuels,Manuels,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/successor,http://dbpedia.org/ontology/Politician	,http://dbpedia.org/ontology/Person  
stehen,noun,stehe,stehst,steht,stände,gestanden,stand,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/successor,http://dbpedia.org/ontology/Politician	,http://dbpedia.org/ontology/Person  
Transkription,noun,f,Transkription,Transkriptionen,Transkription,Transkription,Transkription,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/successor,http://dbpedia.org/ontology/Politician	,http://dbpedia.org/ontology/Person  
Zeit,noun,f,Zeit,Zeiten,Zeit,Zeit,Zeit,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/successor,http://dbpedia.org/ontology/Politician	,http://dbpedia.org/ontology/Person  
Platz,noun,m,Platz,Plätze,Plätzen,Platz,Platzes,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/successor,http://dbpedia.org/ontology/Politician	,http://dbpedia.org/ontology/Person  
Präfektur,noun,f,Präfektur,Präfekturen,Präfektur,Präfektur,Präfektur,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/successor,http://dbpedia.org/ontology/Politician	,http://dbpedia.org/ontology/Person  
Daniel,noun,Daniel,Daniels,Daniels,Daniels,Daniels,Daniels,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/successor,http://dbpedia.org/ontology/Politician	,http://dbpedia.org/ontology/Person  
City,noun,f,City,Citys,City,City,City,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/successor,http://dbpedia.org/ontology/Politician	,http://dbpedia.org/ontology/Person  
Europameister,noun,m,Europameister,Europameister,Europameister,Europameister,Europameisters,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/successor,http://dbpedia.org/ontology/Politician	,http://dbpedia.org/ontology/Person  
Kampf,noun,m,Kampf,Kämpfe,Kampfe,Kämpfe,Kampfs,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/successor,http://dbpedia.org/ontology/Politician	,http://dbpedia.org/ontology/Person  
Michael,noun, Michaele, Michael,Michaels, Michaeln, Michaels, Michaele,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/successor,http://dbpedia.org/ontology/Politician	,http://dbpedia.org/ontology/Person  
Titel,noun,m,Titel,Titel,Titel,Titel,Titels,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/successor,http://dbpedia.org/ontology/Politician	,http://dbpedia.org/ontology/Person  
Punkt,noun,m,Punkt,Punkte,Punkte,Punkte,Punktes,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/successor,http://dbpedia.org/ontology/Politician	,http://dbpedia.org/ontology/Person  
Teilnehmer,noun,m,Teilnehmer,Teilnehmer,Teilnehmer,Teilnehmer,Teilnehmers,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/successor,http://dbpedia.org/ontology/Politician	,http://dbpedia.org/ontology/Person  
Olympiasieger,noun,m,Olympiasieger,Olympiasieger,Olympiasieger,Olympiasieger,Olympiasiegers,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/successor,http://dbpedia.org/ontology/Politician	,http://dbpedia.org/ontology/Person  
Goldmedaille,noun,f,Goldmedaille,Goldmedaillen,Goldmedaille,Goldmedaille,Goldmedaille,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/successor,http://dbpedia.org/ontology/Politician	,http://dbpedia.org/ontology/Person  
Bronzemedaille,noun,f,Bronzemedaille,Bronzemedaillen,Bronzemedaille,Bronzemedaille,Bronzemedaille,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/successor,http://dbpedia.org/ontology/Politician	,http://dbpedia.org/ontology/Person  
Meister,noun,m,Meister,Meister,Meister,Meister,Meisters,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/successor,http://dbpedia.org/ontology/Politician	,http://dbpedia.org/ontology/Person  
Spiel,noun,n,Spiel,Spiele,Spiele,Spiele,Spiels,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/successor,http://dbpedia.org/ontology/Politician	,http://dbpedia.org/ontology/Person  
Sommerspiel,noun,n,Sommerspiel,Sommerspiele,Sommerspiele,Sommerspiele,Sommerspiels,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/successor,http://dbpedia.org/ontology/Politician	,http://dbpedia.org/ontology/Person  
Hauptstadt,noun,f,Hauptstadt,Hauptstädte,Hauptstadt,Hauptstadt,Hauptstadt,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/Country,http://dbpedia.org/ontology/City
Stadt,noun,f,Stadt,Städte,Stadt,Stadt,Stadt,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/Country,http://dbpedia.org/ontology/City
Provinz,noun,f,Provinz,Provinzen,Provinz,Provinz,Provinz,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/Country,http://dbpedia.org/ontology/City
Stadt,noun,f,Stadt,Städte,Stadt,Stadt,Stadt,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/largestCity,http://dbpedia.org/ontology/Country	,http://dbpedia.org/ontology/City 
Kommune,noun,f,Kommune,Kommunen,Kommune,Kommune,Kommune,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/largestCity,http://dbpedia.org/ontology/Country	,http://dbpedia.org/ontology/City 
Januar,noun,m,Januar,Januare,Januaren,Januare,Januars,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/largestCity,http://dbpedia.org/ontology/Country	,http://dbpedia.org/ontology/City 
Insel,noun,f,Insel,Inseln,Insel,Insel,Insel,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/largestCity,http://dbpedia.org/ontology/Country	,http://dbpedia.org/ontology/City 
Provinz,noun,f,Provinz,Provinzen,Provinz,Provinz,Provinz,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/ground,	http://dbpedia.org/ontology/SportsClub	,http://dbpedia.org/ontology/Stadium
Einwohner,noun,m,Einwohner,Einwohner,Einwohner,Einwohner,Einwohners,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/Country,http://dbpedia.org/ontology/City
Januar,noun,m,Januar,Januare,Januaren,Januare,Januars,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/ground,	http://dbpedia.org/ontology/SportsClub	,http://dbpedia.org/ontology/Stadium
Gemeinde,noun,f,Gemeinde,Gemeinden,Gemeinde,Gemeinde,Gemeinde,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/Country,http://dbpedia.org/ontology/City
Kommune,noun,f,Kommune,Kommunen,Kommune,Kommune,Kommune,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/ground,	http://dbpedia.org/ontology/SportsClub	,http://dbpedia.org/ontology/Stadium
Region,noun,f,Region,Regionen,Region,Region,Region,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/largestCity,http://dbpedia.org/ontology/Country	,http://dbpedia.org/ontology/City 
Region,noun,f,Region,Regionen,Region,Region,Region,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/ground,	http://dbpedia.org/ontology/SportsClub	,http://dbpedia.org/ontology/Stadium
Einwohner,noun,m,Einwohner,Einwohner,Einwohner,Einwohner,Einwohners,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/ground,	http://dbpedia.org/ontology/SportsClub	,http://dbpedia.org/ontology/Stadium
Eishockeyspieler,noun,m,Eishockeyspieler,Eishockeyspieler,Eishockeyspieler,Eishockeyspieler,Eishockeyspielers,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/height,	http://dbpedia.org/ontology/Lighthouse	,xsd:integer                     
League,noun,f,League,Leagues,League,League,League,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/height,	http://dbpedia.org/ontology/Lighthouse	,xsd:integer                     
Hockey,noun,n,Hockey,—,Hockey,Hockey,Hockeys,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/height,	http://dbpedia.org/ontology/Lighthouse	,xsd:integer                     
Vertrag,noun,m,Vertrag,Verträge,Vertrage,Verträge,Vertrages,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/height,	http://dbpedia.org/ontology/Lighthouse	,xsd:integer                     
Position,noun,f,Position,Positionen,Position,Position,Position,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/height,	http://dbpedia.org/ontology/Lighthouse	,xsd:integer                     
Minnesota,noun,n,Minnesota,—,—,—,Minnesota,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/nationality,http://dbpedia.org/ontology/Person	,http://dbpedia.org/ontology/Country  
Verlauf,noun,m,Verlauf,Verläufe,Verlaufe,Verläufe,Verlaufs,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/height,	http://dbpedia.org/ontology/Lighthouse	,xsd:integer                     
Hockey,noun,n,Hockey,—,Hockey,Hockey,Hockeys,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/nationality,http://dbpedia.org/ontology/Person	,http://dbpedia.org/ontology/Country  
Liga,noun,f,Liga,Ligen,Liga,Liga,Liga,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/height,	http://dbpedia.org/ontology/Lighthouse	,xsd:integer                     
Michigan,noun,n,Michigan,—,Michigan,Michigan,Michigans,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/nationality,http://dbpedia.org/ontology/Person	,http://dbpedia.org/ontology/Country  
League,noun,f,League,Leagues,League,League,League,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/nationality,http://dbpedia.org/ontology/Person	,http://dbpedia.org/ontology/Country  
Eishockey,noun,n,Eishockey,—,Eishockey,Eishockey,Eishockeys,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/height,	http://dbpedia.org/ontology/Lighthouse	,xsd:integer                     
Eishockeyspieler,noun,m,Eishockeyspieler,Eishockeyspieler,Eishockeyspieler,Eishockeyspieler,Eishockeyspielers,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/nationality,http://dbpedia.org/ontology/Person	,http://dbpedia.org/ontology/Country  
Position,noun,f,Position,Positionen,Position,Position,Position,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/nationality,http://dbpedia.org/ontology/Person	,http://dbpedia.org/ontology/Country  
Nationalmannschaft,noun,f,Nationalmannschaft,Nationalmannschaften,Nationalmannschaft,Nationalmannschaft,Nationalmannschaft,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/nationality,http://dbpedia.org/ontology/Person	,http://dbpedia.org/ontology/Country  
Minnesota,noun,n,Minnesota,—,—,—,Minnesota,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/height,	http://dbpedia.org/ontology/Lighthouse	,xsd:integer                     
Tschechoslowakei,noun,f,Tschechoslowakei,—,Tschechoslowakei,Tschechoslowakei,Tschechoslowakei,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/height,	http://dbpedia.org/ontology/Lighthouse	,xsd:integer                     
Ranger,noun,m,Ranger,Ranger,Ranger,Ranger,Rangers,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/height,	http://dbpedia.org/ontology/Lighthouse	,xsd:integer                     
Karriere,noun,f,Karriere,Karrieren,Karriere,Karriere,Karriere,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/nationality,http://dbpedia.org/ontology/Person	,http://dbpedia.org/ontology/Country  
Spiel,noun,n,Spiel,Spiele,Spiele,Spiele,Spiels,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/nationality,http://dbpedia.org/ontology/Person	,http://dbpedia.org/ontology/Country  
Star,noun,m,Star,Stare,Stare,Stare,Stars,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/height,	http://dbpedia.org/ontology/Lighthouse	,xsd:integer                     
Blues,noun,m,Blues,—,Blues,Blues,Blues,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/height,	http://dbpedia.org/ontology/Lighthouse	,xsd:integer                     
King,noun,m,King,Kings,Kings,Kings,King,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/height,	http://dbpedia.org/ontology/Lighthouse	,xsd:integer                     
Los,noun,n,Los,Lose,Losen,Los,Loses,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/height,	http://dbpedia.org/ontology/Lighthouse	,xsd:integer                     
Vertrag,noun,m,Vertrag,Verträge,Vertrage,Verträge,Vertrages,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/nationality,http://dbpedia.org/ontology/Person	,http://dbpedia.org/ontology/Country  
Verlauf,noun,m,Verlauf,Verläufe,Verlaufe,Verläufe,Verlaufs,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/nationality,http://dbpedia.org/ontology/Person	,http://dbpedia.org/ontology/Country  
Verteidiger,noun,m,Verteidiger,Verteidiger,Verteidiger,Verteidiger,Verteidigers,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/height,	http://dbpedia.org/ontology/Lighthouse	,xsd:integer                     
Juli,noun,m,Juli,Julis,Julis,Julis,Juli,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/nationality,http://dbpedia.org/ontology/Person	,http://dbpedia.org/ontology/Country  
Großteil,noun,m,Großteil,Großteile,Großteile,Großteile,Großteiles,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/height,	http://dbpedia.org/ontology/Lighthouse	,xsd:integer                     
USA,noun,x,—,USA,—,—,—,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/nationality,http://dbpedia.org/ontology/Person	,http://dbpedia.org/ontology/Country  
Senator,noun,m,Senator,Senatoren,Senator,Senator,Senators,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/height,	http://dbpedia.org/ontology/Lighthouse	,xsd:integer                     
Cheftrainer,noun,m,Cheftrainer,Cheftrainer,Cheftrainer,Cheftrainer,Cheftrainers,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/height,	http://dbpedia.org/ontology/Lighthouse	,xsd:integer                     
Dienst,noun,m,Dienst,Dienste,Dienste,Dienste,Diensts,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/height,	http://dbpedia.org/ontology/Lighthouse	,xsd:integer                     
Flügelstürmer,noun,m,Flügelstürmer,Flügelstürmer,Flügelstürmer,Flügelstürmer,Flügelstürmers,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/height,	http://dbpedia.org/ontology/Lighthouse	,xsd:integer                     
Jet,noun,m,Jet,Jets,Jet,Jet,Jets,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/height,	http://dbpedia.org/ontology/Lighthouse	,xsd:integer                     
Draft,noun,f,m,Draft,Drafts,Draft,Draft,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/height,	http://dbpedia.org/ontology/Lighthouse	,xsd:integer                     
Center,noun,n,Center,Center,Center,Center,Centers,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/height,	http://dbpedia.org/ontology/Lighthouse	,xsd:integer                     
Olympiasiegerin,noun,f,Olympiasiegerin,Olympiasiegerinnen,Olympiasiegerin,Olympiasiegerin,Olympiasiegerin,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/nationality,http://dbpedia.org/ontology/Person	,http://dbpedia.org/ontology/Country  
Eishockeyspielerin,noun,f,Eishockeyspielerin,Eishockeyspielerinnen,Eishockeyspielerin,Eishockeyspielerin,Eishockeyspielerin,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/height,	http://dbpedia.org/ontology/Lighthouse	,xsd:integer                     
Assistenztrainer,noun,m,Assistenztrainer,Assistenztrainers,Assistenztrainern,Assistenztrainer,Assistenztrainer,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/height,	http://dbpedia.org/ontology/Lighthouse	,xsd:integer                     
Atlanta,noun,Atlanta,Atlantas,Atlantas,Atlantas,Atlantas,Atlantas,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/height,	http://dbpedia.org/ontology/Lighthouse	,xsd:integer                     
Weltmeisterin,noun,f,Weltmeisterin,Weltmeisterinnen,Weltmeisterin,Weltmeisterin,Weltmeisterin,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/nationality,http://dbpedia.org/ontology/Person	,http://dbpedia.org/ontology/Country  
Tiger,noun,m,Tiger,Tiger,Tiger,Tiger,Tigers,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/height,	http://dbpedia.org/ontology/Lighthouse	,xsd:integer                     
Trikot,noun,m,Trikot,Trikots,Trikot,Trikot,Trikots,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/height,	http://dbpedia.org/ontology/Lighthouse	,xsd:integer                     
Ranger,noun,m,Ranger,Ranger,Ranger,Ranger,Rangers,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/nationality,http://dbpedia.org/ontology/Person	,http://dbpedia.org/ontology/Country  
Organisation,noun,f,Organisation,Organisationen,Organisation,Organisation,Organisation,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/height,	http://dbpedia.org/ontology/Lighthouse	,xsd:integer                     
Grand,noun,m,Grand,Grands,Grand,Grand,Grands,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/nationality,http://dbpedia.org/ontology/Person	,http://dbpedia.org/ontology/Country  
Team,noun,n,Team,Teams,Team,Team,Teams,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/height,	http://dbpedia.org/ontology/Lighthouse	,xsd:integer                     
Joseph,noun,Joseph,Josephe,Josephs,Josephen,Josephs,Josephs,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/height,	http://dbpedia.org/ontology/Lighthouse	,xsd:integer                     
Spieler,noun,m,Spieler,Spieler,Spieler,Spieler,Spielers,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/height,	http://dbpedia.org/ontology/Lighthouse	,xsd:integer                     
Trikot,noun,m,Trikot,Trikots,Trikot,Trikot,Trikots,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/nationality,http://dbpedia.org/ontology/Person	,http://dbpedia.org/ontology/Country  
William,noun,William,Williame,Williams,Williamen,Williams,Williams,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/height,	http://dbpedia.org/ontology/Lighthouse	,xsd:integer                     
März,noun,m,März,Märze,März,Märzen,März,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/nationality,http://dbpedia.org/ontology/Person	,http://dbpedia.org/ontology/Country  
Cup,noun,m,Cup,Cups,Cup,Cup,Cups,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/height,	http://dbpedia.org/ontology/Lighthouse	,xsd:integer                     
Januar,noun,m,Januar,Januare,Januaren,Januare,Januars,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/nationality,http://dbpedia.org/ontology/Person	,http://dbpedia.org/ontology/Country  
Michael,noun, Michaele, Michael,Michaels, Michaeln, Michaels, Michaele,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/nationality,http://dbpedia.org/ontology/Person	,http://dbpedia.org/ontology/Country  
Eishockey,noun,n,Eishockey,—,Eishockey,Eishockey,Eishockeys,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/nationality,http://dbpedia.org/ontology/Person	,http://dbpedia.org/ontology/Country  
Laufbahn,noun,f,Laufbahn,Laufbahnen,Laufbahn,Laufbahn,Laufbahn,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/height,	http://dbpedia.org/ontology/Lighthouse	,xsd:integer                     
Adler,noun,m,Adler,Adler,Adler,Adler,Adlers,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/height,	http://dbpedia.org/ontology/Lighthouse	,xsd:integer                     
Michigan,noun,n,Michigan,—,Michigan,Michigan,Michigans,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/height,	http://dbpedia.org/ontology/Lighthouse	,xsd:integer                     
Oberliga,noun,f,Oberliga,Oberligen,Oberliga,Oberliga,Oberliga,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/height,	http://dbpedia.org/ontology/Lighthouse	,xsd:integer                     
Organisation,noun,f,Organisation,Organisationen,Organisation,Organisation,Organisation,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/nationality,http://dbpedia.org/ontology/Person	,http://dbpedia.org/ontology/Country  
Karriereende,noun,n,Karriereende,Karriereenden,Karriereende,Karriereende,Karriereendes,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/height,	http://dbpedia.org/ontology/Lighthouse	,xsd:integer                     
Juni,noun,m,Juni,Junis,Junis,Junis,Juni,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/nationality,http://dbpedia.org/ontology/Person	,http://dbpedia.org/ontology/Country  
Saison,noun,f,Saison,Saisons,Saison,Saisons,Saisonen,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/nationality,http://dbpedia.org/ontology/Person	,http://dbpedia.org/ontology/Country  
Hall,noun,m,Hall,Halle,Halle,Halle,Halls,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/height,	http://dbpedia.org/ontology/Lighthouse	,xsd:integer                     
Jahr,noun,n,Jahr,Jahre,Jahre,Jahre,Jahres,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/nationality,http://dbpedia.org/ontology/Person	,http://dbpedia.org/ontology/Country  
Blues,noun,m,Blues,—,Blues,Blues,Blues,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/nationality,http://dbpedia.org/ontology/Person	,http://dbpedia.org/ontology/Country  
Liga,noun,f,Liga,Ligen,Liga,Liga,Liga,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/nationality,http://dbpedia.org/ontology/Person	,http://dbpedia.org/ontology/Country  
